timestamp_s,thrust_raw,thrust_gf,torque_ncm,efficiency_gpw,voltage_mv,current_a,throttle_pct
0.000000,-533721,-0.111,-0.0085,-1.1881,8271.250,0.011250,0
0.117671,-533695,-0.073,-0.0082,-0.7826,8272.500,0.011250,0
0.242526,-533681,-0.053,-0.0102,-0.5643,8272.500,0.011250,0
0.306837,-533690,-0.066,-0.0159,-0.7928,8271.250,0.010000,0
0.429020,-533664,-0.028,-0.0095,-0.2993,8272.500,0.011250,0
0.510299,-533678,-0.048,-0.0083,-0.5823,8272.500,0.010000,0
0.591937,-533697,-0.076,-0.0030,-0.9155,8272.500,0.010000,0
0.672039,-533690,-0.066,-0.0045,-0.7047,8271.250,0.011250,0
0.790130,-533669,-0.035,-0.0172,-0.4850,8272.500,0.008750,0
0.869169,-533642,0.004,-0.0169,0.0491,8272.500,0.010000,0
0.947811,-533674,-0.042,-0.0090,-0.4552,8272.500,0.011250,0
1.026131,-533695,-0.073,-0.0113,-1.0060,8273.750,0.008750,0
1.143451,-533689,-0.064,-0.0001,-0.8859,8272.500,0.008750,33
1.205050,-533706,-0.089,-0.0027,-1.0733,8272.500,0.010000,33
1.330196,-533691,-0.067,0.0002,-0.6481,8273.750,0.012500,33
1.407486,-533664,-0.028,-0.0089,-0.0063,8156.250,0.540000,33
1.486186,-533658,-0.019,-0.0029,-0.0009,7883.750,2.716250,33
1.579677,-532579,1.546,0.1023,0.0731,7900.000,2.677500,33
1.672620,-526556,10.284,0.2922,0.4914,7920.000,2.642500,33
1.759698,-519230,20.913,0.3157,1.0180,7912.500,2.596250,33
1.875714,-516192,25.321,0.2778,1.2081,7920.000,2.646250,33
1.954552,-515478,26.357,0.2751,1.2586,7902.500,2.650000,33
2.033600,-515344,26.551,0.2711,1.3245,7907.500,2.535000,33
2.152473,-515246,26.693,0.2718,1.3105,7902.500,2.577500,33
2.230784,-515394,26.478,0.2730,1.2793,7903.750,2.618750,33
2.307994,-515403,26.465,0.2748,1.2914,7912.500,2.590000,33
2.424619,-515388,26.487,0.2733,1.3331,7903.750,2.513750,33
2.499448,-515384,26.493,0.2680,1.3009,7901.250,2.577500,33
2.615386,-515436,26.417,0.2726,1.2816,7912.500,2.605000,33
2.690168,-515525,26.288,0.2587,1.3088,7903.750,2.541250,33
2.766282,-515560,26.238,0.2541,1.2959,7901.250,2.562500,33
2.882833,-515521,26.294,0.2611,1.2755,7910.000,2.606250,33
2.958890,-515543,26.262,0.2536,1.3060,7897.500,2.546250,33
3.074810,-515531,26.280,0.2522,1.2677,7897.500,2.625000,33
3.150384,-515568,26.226,0.2541,1.2942,7892.500,2.567500,33
3.225964,-515623,26.146,0.2526,1.2542,7911.250,2.635000,33
3.340751,-515633,26.132,0.2526,1.3091,7893.750,2.528750,33
3.416070,-515660,26.092,0.2615,1.2622,7901.250,2.616250,33
3.532920,-515643,26.117,0.2522,1.3015,7888.750,2.543750,33
3.608596,-515664,26.087,0.2469,1.2603,7892.500,2.622500,33
3.685452,-515740,25.976,0.2478,1.2846,7887.500,2.563750,33
3.802870,-515707,26.024,0.2508,1.2721,7887.500,2.593750,33
3.880390,-515728,25.994,0.2532,1.2739,7886.250,2.587500,33
3.996386,-515789,25.905,0.2580,1.3050,7888.750,2.516250,33
4.072830,-515852,25.814,0.2679,1.2448,7892.500,2.627500,33
4.149336,-515829,25.847,0.2542,1.2504,7890.000,2.620000,66
4.265779,-515788,25.907,0.2470,1.3180,7890.000,2.491250,66
4.350405,-515718,26.008,0.2510,0.5176,7417.500,6.773750,66
4.426455,-514315,28.044,0.2889,0.5778,7447.500,6.517500,66
4.517230,-507196,38.372,0.4184,0.8180,7456.250,6.291250,66
4.634246,-501630,46.447,0.4235,0.9914,7457.500,6.282500,66
4.711647,-500582,47.968,0.3947,1.0172,7460.000,6.321250,66
4.787875,-500520,48.058,0.3904,0.9873,7468.750,6.517500,66
4.905694,-500550,48.014,0.3765,0.9775,7467.500,6.577500,66
4.982669,-500691,47.810,0.3686,0.9868,7461.250,6.493750,66
5.099320,-500669,47.841,0.3858,0.9944,7456.250,6.452500,66
5.175152,-500702,47.794,0.4105,0.9891,7463.750,6.473750,66
5.251518,-500855,47.572,0.4072,0.9898,7460.000,6.442500,66
5.369158,-500889,47.522,0.4166,0.9879,7456.250,6.451250,66
5.444523,-500975,47.398,0.4137,1.0024,7455.000,6.342500,66
5.548542,-501082,47.242,0.4055,0.9884,7446.250,6.418750,66
5.620417,-501265,46.977,0.4076,1.0081,7450.000,6.255000,66
5.738256,-501274,46.964,0.4102,0.9873,7467.500,6.370000,66
5.803627,-501349,46.855,0.4336,0.9881,7442.500,6.371250,66
5.929821,-501366,46.830,0.4560,0.9859,7455.000,6.371250,66
6.011916,-501350,46.853,0.4433,1.0224,7442.500,6.157500,66
6.094831,-501496,46.642,0.4352,0.9772,7448.750,6.407500,66
6.177808,-501515,46.614,0.4319,1.0063,7441.250,6.225000,66
6.262424,-501589,46.507,0.4399,1.0153,7445.000,6.152500,66
6.380069,-501706,46.337,0.4375,0.9677,7435.000,6.440000,66
6.459197,-501667,46.394,0.4386,0.9865,7431.250,6.328750,66
6.575778,-501645,46.426,0.4545,1.0005,7427.500,6.247500,66
6.652143,-501793,46.211,0.4647,1.0404,7426.250,5.981250,66
6.732782,-501871,46.098,0.4583,1.0066,7438.750,6.156250,66
6.817493,-501950,45.983,0.4641,1.0379,7446.250,5.950000,66
6.940586,-502081,45.793,0.4608,1.0187,7421.250,6.057500,66
7.002699,-502147,45.697,0.4617,0.9865,7426.250,6.237500,66
7.122389,-501983,45.935,0.4756,0.9952,7422.500,6.218750,66
7.200935,-502029,45.868,0.4948,1.0066,7421.250,6.140000,66
7.278464,-502195,45.628,0.5033,0.9811,7420.000,6.267500,100
7.403973,-502342,45.414,0.4909,0.5638,6843.750,11.770000,100
7.481081,-501624,46.456,0.5042,0.5931,6882.500,11.380000,100
7.575064,-495881,54.788,0.6380,0.6999,6896.250,11.351250,100
7.657511,-489618,63.874,0.6758,0.8190,6893.750,11.313750,100
7.738782,-488388,65.659,0.6754,0.8470,6893.750,11.245000,100
7.847954,-488590,65.366,0.6741,0.8436,6888.750,11.247500,100
7.921986,-488801,65.060,0.6790,0.8505,6885.000,11.110000,100
8.038309,-489056,64.690,0.6941,0.8438,6881.250,11.141250,100
8.115380,-489171,64.523,0.7224,0.8489,6880.000,11.047500,100
8.232552,-489469,64.091,0.7433,0.8466,6875.000,11.011250,100
8.309578,-489466,64.095,0.7433,0.8480,6866.250,11.007500,100
8.388388,-489603,63.896,0.7497,0.8491,6852.500,10.981250,100
8.504099,-489974,63.358,0.7464,0.8497,6848.750,10.887500,100
8.581441,-489928,63.425,0.7457,0.8490,6841.250,10.920000,100
8.657337,-490062,63.230,0.7518,0.8463,6846.250,10.912500,100
8.779117,-490073,63.214,0.7714,0.8482,6862.500,10.860000,100
8.861791,-490043,63.258,0.7864,0.8524,6857.500,10.822500,100
8.945334,-490220,63.001,0.7845,0.8456,6855.000,10.868750,100
9.028618,-490227,62.991,0.8009,0.8531,6866.250,10.753750,100
9.151773,-490292,62.897,0.8132,0.8499,6865.000,10.780000,100
9.230468,-490353,62.808,0.8118,0.8511,6858.750,10.760000,100
9.308412,-490539,62.538,0.8131,0.8474,6861.250,10.756250,100
9.425328,-490619,62.422,0.8322,0.8465,6858.750,10.751250,100
9.502461,-490570,62.493,0.8644,0.8464,6872.500,10.743750,100
9.582055,-490734,62.255,0.8652,0.8426,6868.750,10.756250,100
9.699432,-490795,62.167,0.8648,0.8468,6860.000,10.701250,100
9.776955,-490744,62.241,0.8710,0.8546,6858.750,10.618750,100
9.853474,-490877,62.048,0.8869,0.8467,6856.250,10.688750,100
9.969736,-490993,61.879,0.8904,0.8451,6851.250,10.687500,100
10.046705,-490916,61.991,0.8946,0.8514,6852.500,10.625000,100
10.162731,-490982,61.895,0.9224,0.8498,6851.250,10.631250,100
10.239020,-491125,61.688,0.9263,0.8490,6848.750,10.608750,100
